ID,Form_ID,Cognateset_ID,Source,source_comment,Comment
1,1,I-B,,Verkerk,high quality lookalike
2,2,I-B,,Dunn,reasonable lookalike (need an explanation for the ending)
3,3,I-B,BurrowEmeneau1961[468],,5160
4,4,I-B,BurrowEmeneau1961[468],,5160
5,5,I-B,BurrowEmeneau1961[468],,"no. 5160 Form in DED is: Ka. ān (obl. en-), nān (obl. nan-)."
6,6,I-B,BurrowEmeneau1961[468],,"no. 5160 Form in DED is: Koḍ. na·nï, na· (obl. en-, nan-, na·-)."
7,7,I-B,,Kolipakam,Based on similarity with Telugu : ne:nu
8,8,I-B,BurrowEmeneau1961[468],,3160
9,9,I-B,,Verkerk,high quality lookalike
10,10,I-B,BurrowEmeneau1961[468],,5160
11,11,I-B,BurrowEmeneau1961[468],,no.5160
12,12,I-B,BurrowEmeneau1961[468],,3160
13,13,I-B,BurrowEmeneau1961[468],,no. 5160
14,14,I-B,BurrowEmeneau1961[468],,no. 5160
15,15,I-B,BurrowEmeneau1961[468],,5160
16,16,I-B,Andronov1964;BurrowEmeneau1961[468],,; no. 5160
17,17,I-B,BurrowEmeneau1961[468],,no. 5160
18,18,I-B,BurrowEmeneau1961[468],,no. 5160
19,19,I-B,BurrowEmeneau1961[468],,no. 5160
20,20,I-B,BurrowEmeneau1961[468],,no. 5160
21,21,I-B,,Verkerk,high quality lookalike
22,22,all-A,,Verkerk,high quality look-alike
23,23,all-A,Andronov1964;BurrowEmeneau1961[DED844],,; DED844
24,24,all-A,BurrowEmeneau1961[DED844],,DED844
25,25,all-A,BurrowEmeneau1961[82],,DED844
26,26,all-A,Andronov1964;BurrowEmeneau1961[DED844],,"; DED844 - cited as ellam: Ma. ellām, ellāvum all; ellīrum you all."
27,27,all-A,Andronov1964;BurrowEmeneau1961[DED844],,; DED844
28,28,all-B,,Verkerk,high quality look-alike
29,29,all-B,Andronov1964,,
30,30,all-C,,Verkerk,high quality look-alike
31,31,all-C,,Verkerk,
32,32,all-D,,Verkerk,"could be ofody in following DED990 reference: To. wïḏ (obl. wïḏn-/wïn-) one; wïḏy, wïḏi· alone; wïnaṛ at the same time, together (wïḏ naṛ one step; cf. 3582); wïḏïnaṛ at once, immediately (< wïḏi· naṛ one step only); ofoḏy all, the whole (cf. Ta. ovv-oṉṟu each one)."
33,33,all-E,,Verkerk,
34,34,all-F,,Verkerk,
35,35,all-G,,Verkerk,
36,36,all-H,,Dunn,apparent singleton
37,37,all-I,BurrowEmeneau1961[215],,DED2461
38,38,all-J,,Kolipakam,No obvious cognates.
39,39,all-K,,Kolipakam,No obvious cognates.
40,40,all-L,,Kolipakam,No obvious cognates.
41,41,all-M,,Kolipakam,No obvious cognates
42,42,all-N,,Kolipakam,No obvious cognates
43,43,all-O,,Kolipakam,No obvious cognates
44,44,ashes-A,Andronov1964;BurrowEmeneau1961[DED2453],,; 
45,45,ashes-A,,Jordan,Lookalike to members of DED2453
46,46,ashes-A,Andronov1964;BurrowEmeneau1961[DED2453],,; 
47,47,ashes-B,,Jordan,Lookalike to members of DED4316
48,48,ashes-B,,Jordan,Lookalike with members of DED4316
49,49,ashes-B,BurrowEmeneau1961[DED4316],,"B&E form: būda, būdi, būdu ""The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541"" but see note on the cognate class."
50,50,ashes-B,BurrowEmeneau1961[DED4316],,"The forms in brackets are probably, but not all necessarily, borrowed from Skt. DED (S, N) 3541 but see note on cognate class"
