en,de
a,ein
ability,Fähigkeit
able,fähig
about,Über
above,über
accept,akzeptieren
according,gemäß
account,Konto
across,über
act,Handlung
action,Aktion
activity,Aktivität
actually,tatsächlich
add,hinzufügen
address,Adresse
administration,Verwaltung
admit,eingestehen
adult,Erwachsene
affect,beeinflussen
after,nach dem
again,nochmal
against,gegen
age,Alter
agency,Agentur
agent,Agent
ago,vor
agree,zustimmen
agreement,Zustimmung
ahead,voraus
air,Luft
all,alles
allow,ermöglichen
almost,fast
alone,allein
along,eine lange
already,bereits
also,ebenfalls
although,obwohl
always,immer
American,amerikanisch
among,unter
amount,Menge
analysis,Analyse
and,und
animal,Tier
another,Ein weiterer
answer,Antworten
any,irgendein
anyone,jemand
anything,etwas
appear,erscheinen
apply,sich bewerben
approach,Ansatz
area,Bereich
argue,streiten
arm,Arm
around,um
arrive,ankommen
art,Kunst
article,Artikel
artist,Künstler
as,wie
ask,Fragen
assume,annehmen
at,beim
attack,Attacke
attention,Beachtung
attorney,Rechtsanwalt
audience,Publikum
author,Autor
authority,Behörde
available,verfügbar
avoid,vermeiden
away,Weg
baby,Baby
back,zurück
bad,Schlecht
bag,Tasche
ball,Ball
bank,Bank
bar,Bar
base,Base
be,Sein
beat,schlagen
beautiful,wunderschönen
because,da
become,werden
bed,Bett
before,Vor
begin,Start
behavior,Verhalten
behind,hinter
believe,glauben
benefit,Vorteil
best,Beste
better,besser
between,zwischen
beyond,darüber hinaus
big,groß
bill,Rechnung
billion,Milliarde
bit,bisschen
black,schwarz
blood,Blut
blue,Blau
board,Tafel
body,Karosserie
book,Buch
born,geboren
both,beide
box,Box
boy,Junge
break,brechen
bring,bringen
brother,Bruder
budget,Budget
build,bauen
building,Gebäude
business,Geschäft
but,aber
buy,Kaufen
by,durch
call,Anruf
camera,Kamera
campaign,Kampagne
can,können
cancer,Krebs
candidate,Kandidat
capital,Hauptstadt
car,Auto
card,Karte
care,Pflege
career,Werdegang
carry,tragen
case,Fall
catch,Fang
cause,Ursache
cell,Zelle
center,Center
central,zentral
century,Jahrhundert
certain,sicher
certainly,bestimmt
chair,Stuhl
challenge,Herausforderung
chance,Chance
change,Veränderung
character,Charakter
charge,aufladen
check,prüfen
child,Kind
choice,Wahl
choose,wählen
church,Kirche
citizen,Bürger
city,Stadt
civil,bürgerlich
claim,Anspruch
class,Klasse
clear,klar
clearly,deutlich
close,schließen
coach,Trainer
cold,kalt
collection,Sammlung
college,Hochschule
color,Farbe
come,Kommen Sie
commercial,kommerziell
common,verbreitet
community,Gemeinschaft
company,Unternehmen
compare,vergleichen Sie
computer,Computer
concern,"Besorgnis, Sorge"
condition,Bedingung
conference,Konferenz
Congress,Kongress
consider,Erwägen
consumer,Verbraucher
contain,enthalten
continue,fortsetzen
control,Steuerung
cost,Kosten
could,könnte
country,Land
couple,Paar
course,Kurs
court,Gericht
cover,Abdeckung
create,erstellen
crime,Kriminalität
cultural,Kultur-
culture,Kultur
cup,Tasse
current,aktuell
customer,Kunde
cut,Schnitt
dark,dunkel
data,Daten
daughter,Tochter
day,Tag
dead,tot
deal,Deal
death,Tod
debate,Debatte
decade,Dekade
decide,entscheiden
