en,ro
a,A
ability,abilitate
able,in stare
about,despre
above,de mai sus
accept,Accept
according,potrivit
account,cont
across,peste
act,act
action,acțiune
activity,activitate
actually,de fapt
add,adăuga
address,adresa
administration,administrare
admit,admite
adult,adult
affect,a afecta
after,după
again,din nou
against,împotriva
age,vârstă
agency,agenţie
agent,agent
ago,în urmă
agree,de acord
agreement,acord
ahead,înainte
air,aer
all,toate
allow,permite
almost,aproape
alone,singur
along,de-a lungul
already,deja
also,de asemenea
although,cu toate ca
always,mereu
American,american
among,printre
amount,Cantitate
analysis,analiză
and,și
animal,animal
another,o alta
answer,Răspuns
any,orice
anyone,oricine
anything,orice
appear,apărea
apply,aplica
approach,abordare
area,zonă
argue,argumenta
arm,braţ
around,în jurul
arrive,ajunge
art,artă
article,articol
artist,artist
as,la fel de
ask,cere
assume,presupune
at,la
attack,atac
attention,Atenţie
attorney,avocat
audience,public
author,autor
authority,autoritate
available,disponibil
avoid,evita
away,departe
baby,bebelus
back,înapoi
bad,rău
bag,sac
ball,minge
bank,bancă
bar,bar
base,baza
be,fi
beat,bate
beautiful,frumos
because,deoarece
become,deveni
bed,pat
before,inainte de
begin,începe
behavior,comportament
behind,in spate
believe,crede
benefit,beneficiu
best,Cel mai bun
better,mai bine
between,între
beyond,dincolo
big,mare
bill,factură
billion,miliard
bit,pic
black,negru
blood,sânge
blue,albastru
board,bord
body,corp
book,carte
born,născut
both,ambii
box,cutie
boy,băiat
break,pauză
bring,aduce
brother,frate
budget,buget
build,construi
building,clădire
business,Afaceri
but,dar
buy,a cumpara
by,de
call,apel
camera,aparat foto
campaign,campanie
can,poate sa
cancer,cancer
candidate,candidat
capital,capital
car,mașină
card,card
care,îngrijire
career,Carieră
carry,transporta
case,caz
catch,captură
cause,cauza
cell,celulă
center,centru
central,central
century,secol
certain,anumit
certainly,cu siguranță
chair,scaun
challenge,provocare
chance,şansă
change,Schimbare
character,caracter
charge,încărca
check,Verifica
child,copil
choice,alegere
choose,alege
church,biserică
citizen,cetăţean
city,oraș
civil,civil
claim,Revendicare
class,clasă
clear,clar
clearly,clar
close,închide
coach,antrenor
cold,rece
collection,Colectie
college,colegiu
color,culoare
come,veni
commercial,comercial
common,comun
community,comunitate
company,companie
compare,comparaţie
computer,calculator
concern,îngrijorare
condition,condiție
conference,conferinţă
Congress,Congres
consider,considera
consumer,consumator
contain,conține
continue,continua
control,Control
cost,cost
could,ar putea
country,țară
couple,cuplu
course,curs
court,curte
cover,acoperi
create,crea
crime,crimă
cultural,cultural
culture,cultură
cup,ceașcă
current,actual
customer,client
cut,a taia
dark,întuneric
data,date
daughter,fiică
day,zi
dead,mort
deal,afacere
death,moarte
debate,dezbate
decade,deceniu
decide,decide
decision,decizie
deep,adâncime
defense,apărare
degree,grad
Democrat,Democrat
democratic,democratic
describe,descrie
design,proiecta
despite,in ciuda
detail,detaliu
determine,a determina
develop,dezvolta
development,dezvoltare
die,a muri
difference,diferență
different,diferit
difficult,dificil
dinner,masa de seara
direction,direcţie
director,director
discover,descoperi
discuss,discuta
discussion,discuţie
disease,boală
do,do
doctor,doctor
dog,câine
door,uşă
down,jos
draw,a desena
dream,vis
drive,conduce
drop,cădere brusca
drug,medicament
during,pe parcursul
each,fiecare
early,din timp
east,Est
easy,uşor
eat,mânca
economic,economic
economy,economie
edge,margine
education,educaţie
effect,efect
effort,efort
eight,opt
either,fie
election,alegere
else,altfel
employee,angajat
end,Sfârșit
energy,energie
enjoy,se bucura
enough,destul
enter,introduce
entire,întreg
environment,mediu inconjurator
environmental,de mediu
especially,mai ales
establish,a stabili
even,chiar
evening,seară
event,eveniment
ever,vreodată
every,fiecare
everybody,toata lumea
everyone,toata lumea
everything,Tot
evidence,evidență
exactly,exact
example,exemplu
executive,executiv
exist,exista
expect,aştepta
experience,experienţă
expert,expert
explain,explica
eye,ochi
face,față
fact,fapt
factor,factor
fail,eșua
fall,cădea
family,familie
far,departe
fast,rapid
father,Tată
fear,frică
federal,federal
feel,simți
feeling,sentiment
few,puțini
field,camp
fight,luptă
figure,figura
fill,completati
film,film
final,final
finally,in cele din urma
financial,financiar
find,găsi
fine,amenda
finger,deget
finish,finalizarea
fire,foc
firm,firmă
first,primul
fish,peşte
five,cinci
floor,podea
fly,a zbura
focus,concentra
follow,urma
food,alimente
foot,picior
for,pentru
force,forta
foreign,străin
forget,a uita
form,formă
former,fost
forward,redirecţiona
four,patru
free,liber
friend,prieten
from,din
front,față
full,deplin
fund,fond
future,viitor
game,joc
garden,grădină
gas,gaz
general,general
generation,generaţie
get,obține
girl,fată
give,da
glass,sticlă
go,merge
goal,poartă
good,bun
government,guvern
great,Grozav
green,verde
ground,sol
group,grup
grow,crește
growth,creştere
guess,ghici
gun,armă
guy,tip
hair,păr
half,jumătate
hand,mână
hang,atârna
happen,întâmpla
happy,fericit
hard,greu
have,avea
he,el
head,cap
health,sănătate
hear,auzi
heart,inimă
heat,căldură
heavy,greu
help,Ajutor
her,a ei
here,aici
herself,se
high,înalt
him,-l
himself,se
his,a lui
history,istorie
hit,lovit
hold,deține
home,Acasă
hope,speranţă
hospital,spital
hot,Fierbinte
hotel,hotel
hour,ora
house,casă
how,Cum
however,in orice caz
huge,imens
human,uman
hundred,sută
